""	"construct"	"read_pattern"	"expected_neg"	"slide name"	"class"	"segment"	"area"	"region"	"pathology"	"nuclei"
"DSP-1001250007851-H-C09.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	22428.88	"glomerulus"	"abnormal"	15028
"DSP-1001250007851-H-C10.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	22709.36	"glomerulus"	"abnormal"	18346
"DSP-1001250007851-H-C11.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	33264.39	"glomerulus"	"abnormal"	15381
"DSP-1001250007851-H-C12.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	21286.78	"glomerulus"	"abnormal"	17037
"DSP-1001250007851-H-D01.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	23064.56	"glomerulus"	"abnormal"	17357
"DSP-1001250007851-H-D02.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	10588.6	"glomerulus"	"abnormal"	17195
"DSP-1001250007851-H-D03.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	23902.14	"glomerulus"	"abnormal"	16858
"DSP-1001250007851-H-D04.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	27538.88	"glomerulus"	"abnormal"	19192
"DSP-1001250007851-H-D05.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	13586.59	"glomerulus"	"abnormal"	17616
"DSP-1001250007851-H-D06.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	15162.65	"glomerulus"	"abnormal"	18629
"DSP-1001250007851-H-D07.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	21049.87	"glomerulus"	"abnormal"	17714
"DSP-1001250007851-H-D08.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	16106.74	"glomerulus"	"abnormal"	16741
"DSP-1001250007851-H-D09.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	19138.62	"glomerulus"	"abnormal"	16218
"DSP-1001250007851-H-D10.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	21682.97	"glomerulus"	"abnormal"	14898
"DSP-1001250007851-H-D11.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	22306.23	"glomerulus"	"abnormal"	17942
"DSP-1001250007851-H-D12.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	17138.29	"glomerulus"	"abnormal"	15790
"DSP-1001250007851-H-E01.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"PanCK"	23053.27	"tubule"	"NA"	15629
"DSP-1001250007851-H-E02.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"neg"	137927.28	"tubule"	"NA"	15881
"DSP-1001250007851-H-E03.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"PanCK"	17553.53	"tubule"	"NA"	19867
"DSP-1001250007851-H-E04.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"neg"	123467.45	"tubule"	"NA"	14913
"DSP-1001250007851-H-E05.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"PanCK"	22011.87	"tubule"	"NA"	16895
"DSP-1001250007851-H-E06.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"neg"	209925.63	"tubule"	"NA"	14578
"DSP-1001250007851-H-E07.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"PanCK"	17157.17	"tubule"	"NA"	18695
"DSP-1001250007851-H-E08.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"neg"	145616.81	"tubule"	"NA"	16397
"DSP-1001250007851-H-E09.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"PanCK"	10254.22	"tubule"	"NA"	17898
"DSP-1001250007851-H-E10.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"neg"	105417.67	"tubule"	"NA"	19067
"DSP-1001250007851-H-E11.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"PanCK"	34076.47	"tubule"	"NA"	18835
"DSP-1001250007851-H-E12.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"neg"	137743.3	"tubule"	"NA"	14395
"DSP-1001250007851-H-F01.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"Geometric Segment"	74627.75	"glomerulus"	"normal"	16471
"DSP-1001250007851-H-F02.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"Geometric Segment"	56775.66	"glomerulus"	"normal"	16354
"DSP-1001250007851-H-F03.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"Geometric Segment"	80786.89	"glomerulus"	"normal"	19574
"DSP-1001250007851-H-F04.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"Geometric Segment"	42607.61	"glomerulus"	"normal"	15160
"DSP-1001250007851-H-F05.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"Geometric Segment"	71246.79	"glomerulus"	"normal"	15570
"DSP-1001250007851-H-F06.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"Geometric Segment"	48856.65	"glomerulus"	"normal"	18380
"DSP-1001250007851-H-F07.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"Geometric Segment"	65511.44	"glomerulus"	"abnormal"	19268
"DSP-1001250007851-H-F08.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"Geometric Segment"	19972.48	"glomerulus"	"abnormal"	19667
"DSP-1001250007851-H-F09.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"Geometric Segment"	44778.52	"glomerulus"	"abnormal"	16269
"DSP-1001250007851-H-F10.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"Geometric Segment"	20051.72	"glomerulus"	"abnormal"	14364
"DSP-1001250007851-H-F11.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"Geometric Segment"	51298.36	"glomerulus"	"abnormal"	16532
"DSP-1001250007851-H-F12.dcc"	"directPCR"	"2x27"	0	"disease4"	"DKD"	"Geometric Segment"	29210.8	"glomerulus"	"abnormal"	15841
"DSP-1001250007864-D-A02.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"PanCK"	20265.55	"tubule"	"NA"	15471
"DSP-1001250007864-D-A03.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"neg"	91483.62	"tubule"	"NA"	14470
"DSP-1001250007864-D-A04.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"PanCK"	12966.08	"tubule"	"NA"	19502
"DSP-1001250007864-D-A05.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"neg"	133866.42	"tubule"	"NA"	14339
"DSP-1001250007864-D-A06.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"PanCK"	23336.81	"tubule"	"NA"	18350
"DSP-1001250007864-D-A07.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"neg"	174741.6	"tubule"	"NA"	14925
"DSP-1001250007864-D-A08.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"PanCK"	15875.8	"tubule"	"NA"	17532
"DSP-1001250007864-D-A09.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"neg"	122888.57	"tubule"	"NA"	17454
"DSP-1001250007864-D-A10.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"PanCK"	23311.32	"tubule"	"NA"	14120
"DSP-1001250007864-D-A11.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"neg"	89287.05	"tubule"	"NA"	17195
"DSP-1001250007864-D-A12.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"PanCK"	9671.79	"tubule"	"NA"	15895
"DSP-1001250007864-D-B01.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"neg"	77969.65	"tubule"	"NA"	19914
"DSP-1001250007864-D-B02.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	27983.33	"glomerulus"	"normal"	18634
"DSP-1001250007864-D-B03.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	23475.44	"glomerulus"	"normal"	19032
"DSP-1001250007864-D-B04.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	14662.85	"glomerulus"	"normal"	19757
"DSP-1001250007864-D-B05.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	24797.65	"glomerulus"	"normal"	16795
"DSP-1001250007864-D-B06.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	24350.46	"glomerulus"	"normal"	17130
"DSP-1001250007864-D-B07.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	22468.42	"glomerulus"	"normal"	18471
"DSP-1001250007864-D-B08.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	25761.9	"glomerulus"	"normal"	17797
"DSP-1001250007864-D-B09.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	23327.94	"glomerulus"	"normal"	17022
"DSP-1001250007864-D-B10.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	26355.95	"glomerulus"	"normal"	19277
"DSP-1001250007864-D-B11.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	25468.51	"glomerulus"	"normal"	17248
"DSP-1001250007864-D-B12.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	26808.95	"glomerulus"	"normal"	14222
"DSP-1001250007864-D-C01.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	24417.75	"glomerulus"	"normal"	14799
"DSP-1001250007864-D-C02.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	26498.77	"glomerulus"	"normal"	18894
"DSP-1001250007864-D-C03.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	31804.37	"glomerulus"	"normal"	18706
"DSP-1001250007864-D-C04.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	35587.97	"glomerulus"	"normal"	16999
"DSP-1001250007864-D-C05.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	26084.67	"glomerulus"	"abnormal"	17750
"DSP-1001250007864-D-C06.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	22127.58	"glomerulus"	"normal"	15833
"DSP-1001250007864-D-C07.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	21787.39	"glomerulus"	"normal"	18390
"DSP-1001250007864-D-C08.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	27479.17	"glomerulus"	"normal"	15614
"DSP-1001250007864-D-C09.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	25095.88	"glomerulus"	"normal"	16768
"DSP-1001250007864-D-C11.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	35146.27	"glomerulus"	"normal"	16632
"DSP-1001250007864-D-C12.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	30810.9	"glomerulus"	"normal"	15578
"DSP-1001250007864-D-D01.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	27445.12	"glomerulus"	"normal"	16753
"DSP-1001250007864-D-D02.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	49933.55	"glomerulus"	"normal"	15780
"DSP-1001250007864-D-D03.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	41998.39	"glomerulus"	"normal"	17146
"DSP-1001250007864-D-D04.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	31837.78	"glomerulus"	"normal"	18508
"DSP-1001250007864-D-D05.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	20978.54	"glomerulus"	"normal"	16928
"DSP-1001250007864-D-D06.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	25290.51	"glomerulus"	"normal"	15091
"DSP-1001250007864-D-D07.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	25689.6	"glomerulus"	"normal"	14998
"DSP-1001250007864-D-D08.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	34535.6	"glomerulus"	"normal"	16110
"DSP-1001250007864-D-D09.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	24650.3	"glomerulus"	"normal"	19548
"DSP-1001250007864-D-D10.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	18153.22	"glomerulus"	"normal"	15574
"DSP-1001250007864-D-D11.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	20003.47	"glomerulus"	"normal"	18274
"DSP-1001250007864-D-D12.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	30229.28	"glomerulus"	"normal"	15621
"DSP-1001250007864-D-E01.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	36097.13	"glomerulus"	"normal"	18394
"DSP-1001250007864-D-E02.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	22703.07	"glomerulus"	"normal"	16327
"DSP-1001250007864-D-E03.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	30029.65	"glomerulus"	"normal"	18675
"DSP-1001250007864-D-E04.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	12920.73	"glomerulus"	"normal"	16651
"DSP-1001250007864-D-E05.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	17744.6	"glomerulus"	"normal"	14358
"DSP-1001250007864-D-E06.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	38272.73	"glomerulus"	"normal"	15200
"DSP-1001250007864-D-E07.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	34006.59	"glomerulus"	"abnormal"	18418
"DSP-1001250007864-D-E08.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	28535.9	"glomerulus"	"abnormal"	14498
"DSP-1001250007864-D-E09.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	23919.73	"glomerulus"	"normal"	15593
"DSP-1001250007864-D-E10.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	22439.69	"glomerulus"	"normal"	15960
"DSP-1001250007864-D-E11.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	20066.08	"glomerulus"	"normal"	16547
"DSP-1001250007864-D-E12.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	23067.79	"glomerulus"	"normal"	15986
"DSP-1001250007864-D-F01.dcc"	"directPCR"	"2x27"	0	"normal3"	"normal"	"Geometric Segment"	33416.58	"glomerulus"	"normal"	18687
"DSP-1001250007864-D-F02.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"PanCK"	16012.17	"tubule"	"NA"	17595
"DSP-1001250007864-D-F03.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"neg"	127197.96	"tubule"	"NA"	15175
"DSP-1001250007864-D-F04.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"PanCK"	24168.74	"tubule"	"NA"	17561
"DSP-1001250007864-D-F05.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"neg"	71727.71	"tubule"	"NA"	18190
"DSP-1001250007864-D-F06.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"PanCK"	34576.91	"tubule"	"NA"	18317
"DSP-1001250007864-D-F07.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"neg"	91677.76	"tubule"	"NA"	17216
"DSP-1001250007864-D-F08.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"PanCK"	29351.52	"tubule"	"NA"	17024
"DSP-1001250007864-D-F09.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"neg"	85295.1	"tubule"	"NA"	18792
"DSP-1001250007864-D-F10.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"PanCK"	12287.31	"tubule"	"NA"	18968
"DSP-1001250007864-D-F11.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"neg"	90680.26	"tubule"	"NA"	18223
"DSP-1001250007864-D-F12.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"PanCK"	19644.72	"tubule"	"NA"	16795
"DSP-1001250007864-D-G01.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"neg"	56847.48	"tubule"	"NA"	15844
"DSP-1001250007864-D-G02.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"Geometric Segment"	11855.13	"glomerulus"	"normal"	14869
"DSP-1001250007864-D-G03.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"Geometric Segment"	21459.78	"glomerulus"	"normal"	19044
"DSP-1001250007864-D-G04.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"Geometric Segment"	25527.25	"glomerulus"	"normal"	14834
"DSP-1001250007864-D-G05.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"Geometric Segment"	25759.32	"glomerulus"	"normal"	17420
"DSP-1001250007864-D-G06.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"Geometric Segment"	14595.23	"glomerulus"	"normal"	18995
"DSP-1001250007864-D-G07.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"Geometric Segment"	18690.46	"glomerulus"	"normal"	16986
"DSP-1001250007864-D-G08.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"Geometric Segment"	21113.94	"glomerulus"	"abnormal"	18339
"DSP-1001250007864-D-G09.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"Geometric Segment"	18368.83	"glomerulus"	"abnormal"	17522
"DSP-1001250007864-D-G10.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"Geometric Segment"	17547.88	"glomerulus"	"abnormal"	14569
"DSP-1001250007864-D-G11.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"Geometric Segment"	14923.97	"glomerulus"	"abnormal"	15489
"DSP-1001250007864-D-G12.dcc"	"directPCR"	"2x27"	0	"normal4"	"normal"	"Geometric Segment"	14750.32	"glomerulus"	"abnormal"	19595
"DSP-1001250007864-D-H01.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"PanCK"	22152.11	"tubule"	"NA"	18798
"DSP-1001250007864-D-H02.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"neg"	71817.92	"tubule"	"NA"	16878
"DSP-1001250007864-D-H03.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"PanCK"	37316.7	"tubule"	"NA"	15260
"DSP-1001250007864-D-H04.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"neg"	102112.73	"tubule"	"NA"	14603
"DSP-1001250007864-D-H05.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"PanCK"	18398.69	"tubule"	"NA"	17662
"DSP-1001250007864-D-H06.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"neg"	85148.24	"tubule"	"NA"	16323
"DSP-1001250007864-D-H07.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"PanCK"	34778.48	"tubule"	"NA"	15824
"DSP-1001250007864-D-H08.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"neg"	87237.5	"tubule"	"NA"	18202
"DSP-1001250007864-D-H09.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"PanCK"	23435.74	"tubule"	"NA"	18754
"DSP-1001250007864-D-H10.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"neg"	78840.79	"tubule"	"NA"	17528
"DSP-1001250007864-D-H11.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"PanCK"	25414.45	"tubule"	"NA"	16275
"DSP-1001250007864-D-H12.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"neg"	102140.65	"tubule"	"NA"	14251
"DSP-1001250007868-B-A02.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"Geometric Segment"	17343.44	"glomerulus"	"normal"	15535
"DSP-1001250007868-B-A03.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"Geometric Segment"	27363.79	"glomerulus"	"normal"	15176
"DSP-1001250007868-B-A04.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"Geometric Segment"	21838.18	"glomerulus"	"normal"	16669
"DSP-1001250007868-B-A05.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"Geometric Segment"	29316.19	"glomerulus"	"normal"	17942
"DSP-1001250007868-B-A06.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"Geometric Segment"	23376.82	"glomerulus"	"abnormal"	18989
"DSP-1001250007868-B-A07.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"Geometric Segment"	34871.38	"glomerulus"	"abnormal"	15983
"DSP-1001250007868-B-A08.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"Geometric Segment"	29638.5	"glomerulus"	"abnormal"	16789
"DSP-1001250007868-B-A09.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"Geometric Segment"	24203.53	"glomerulus"	"abnormal"	17176
"DSP-1001250007868-B-A10.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"Geometric Segment"	24850.07	"glomerulus"	"abnormal"	17456
"DSP-1001250007868-B-A11.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"Geometric Segment"	22985.6	"glomerulus"	"abnormal"	18743
"DSP-1001250007868-B-A12.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"WT1"	1091.47	"glomerulus"	"NA"	18067
"DSP-1001250007868-B-B01.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"neg"	5083.24	"glomerulus"	"NA"	17901
"DSP-1001250007868-B-B02.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"WT1"	273.87	"glomerulus"	"NA"	15682
